Date,Hamina,St.Ghislain,Potsdam,Portland,Boston
2014-07-22 03:00:00,39.55,21.24,29.25,25.1,26.56
2014-07-22 04:00:00,41.23,32.1,33.15,27.37,29.09
2014-07-22 05:00:00,42.57,40.94,40.94,24.2,25.49
2014-07-22 06:00:00,46.49,46.09,46.09,21.36,22.35
2014-07-22 07:00:00,48.09,45.29,45.29,20.16,21.09
2014-07-22 08:00:00,48.36,46.34,46.34,21.46,22.41
2014-07-22 09:00:00,49.08,46.4,46.4,23.88,24.85
2014-07-22 10:00:00,49.39,41.07,41.07,28.62,29.89
2014-07-22 11:00:00,49.75,37.82,37.82,30.8,32.08
2014-07-22 12:00:00,48.72,36.33,36.33,35.06,36.61
2014-07-22 13:00:00,45.4,34.97,34.49,39.27,41.6
2014-07-22 14:00:00,45.92,34.74,34.74,40.16,42.17
2014-07-22 15:00:00,47.05,37.79,34.95,48.59,51.54
2014-07-22 16:00:00,43.79,38.84,38.84,55.98,59.6
2014-07-22 17:00:00,41.17,40.96,40.96,59.13,63.01
2014-07-22 18:00:00,41.18,37.79,37.79,60.12,64.19
2014-07-22 19:00:00,40.21,35.71,35.71,60.37,64.31
2014-07-22 20:00:00,36.13,38.82,38.82,61.29,65.43
2014-07-22 21:00:00,35.44,34.42,33.12,59.42,63.7
2014-07-22 22:00:00,28.37,32.37,29.89,53.78,57.89
2014-07-22 23:00:00,27.87,31.36,28.37,47.69,51.44
2014-07-23 00:00:00,27.34,27.87,27.87,46.42,49.92
2014-07-23 01:00:00,28.01,27.34,27.34,43.12,45.43
2014-07-23 02:00:00,35.71,28.01,28.01,36.34,38.61
2014-07-23 03:00:00,41.23,29.47,29.47,30.41,32.27
2014-07-23 04:00:00,50.61,33.36,33.36,29.63,31.58
2014-07-23 05:00:00,51.33,41.75,41.75,29.24,31.17
2014-07-23 06:00:00,51.26,41.1,41.1,26.21,27.81
2014-07-23 07:00:00,51.87,39.41,39.41,25.4,26.89
2014-07-23 08:00:00,52.07,38.8,38.8,25.55,26.99
2014-07-23 09:00:00,51.67,39.59,39.59,26.21,27.62
2014-07-23 10:00:00,50.94,36.71,36.71,30.15,31.73
2014-07-23 11:00:00,50.7,36.96,35.89,31.97,33.59
2014-07-23 12:00:00,50.07,34.8,34.32,36.31,38.2
2014-07-23 13:00:00,50.58,35.03,33.27,40.92,43.34
2014-07-23 14:00:00,49.64,36.74,33.2,45.95,48.85
2014-07-23 15:00:00,47.9,48.52,34.94,58.14,62.51
2014-07-23 16:00:00,48.56,39.3,38.86,61.33,66.27
2014-07-23 17:00:00,40.25,42.2,42.2,64.57,69.75
2014-07-23 18:00:00,40.26,38.79,38.79,61.51,66.6
2014-07-23 19:00:00,41.16,35.5,35.5,64.72,70.15
2014-07-23 20:00:00,35.69,48.5,36.98,64.55,69.95
2014-07-23 21:00:00,30.49,36.71,32.71,59.69,65.81
2014-07-23 22:00:00,28.76,31.99,30.49,50.51,55.15
2014-07-23 23:00:00,27.84,28.76,28.76,45.09,49.34
2014-07-24 00:00:00,27.05,27.84,27.84,43.78,47.7
2014-07-24 01:00:00,27.66,27.05,27.05,41.65,45.03
2014-07-24 02:00:00,35.73,27.66,27.66,38.4,41.28
2014-07-24 03:00:00,42.81,29.5,29.5,35.18,37.91
2014-07-24 04:00:00,50.25,31.98,31.98,29.48,31.33
2014-07-24 05:00:00,50.93,39.4,39.4,28.22,29.96
2014-07-24 06:00:00,52.72,39.84,39.84,26.43,28.0
2014-07-24 07:00:00,52.75,38.28,38.28,24.75,26.09
2014-07-24 08:00:00,52.61,38.04,38.04,24.97,26.31
2014-07-24 09:00:00,52.55,39.31,39.31,27.7,29.15
2014-07-24 10:00:00,51.64,39.92,39.92,30.45,31.98
2014-07-24 11:00:00,51.59,39.46,39.46,32.86,34.24
2014-07-24 12:00:00,51.53,37.79,37.79,37.04,38.66
2014-07-24 13:00:00,51.02,37.78,37.78,40.8,54.3
2014-07-24 14:00:00,46.6,38.22,38.22,42.5,58.55
2014-07-24 15:00:00,50.31,43.12,41.32,44.13,59.17
2014-07-24 16:00:00,50.19,43.11,43.11,43.0,59.16
2014-07-24 17:00:00,41.23,44.66,44.66,43.0,59.17
2014-07-24 18:00:00,49.4,43.26,43.26,44.0,59.18
2014-07-24 19:00:00,41.22,43.14,43.14,42.54,59.07
2014-07-24 20:00:00,35.71,43.56,43.56,40.55,58.96
2014-07-24 21:00:00,35.67,43.73,37.88,42.31,58.67
2014-07-24 22:00:00,29.04,33.61,31.22,40.33,44.88
2014-07-24 23:00:00,28.17,32.54,29.04,39.82,41.71
2014-07-25 00:00:00,28.09,32.88,28.17,39.14,40.98
2014-07-25 01:00:00,28.11,32.54,28.09,31.99,33.44
2014-07-25 02:00:00,38.1,32.54,28.11,30.44,31.93
2014-07-25 03:00:00,50.91,31.15,30.22,28.48,30.13
2014-07-25 04:00:00,51.06,35.26,35.26,23.99,25.36
2014-07-25 05:00:00,52.86,43.19,43.19,21.26,22.43
2014-07-25 06:00:00,55.51,44.72,44.72,19.37,20.35
2014-07-25 07:00:00,55.49,49.7,44.18,18.71,19.67
2014-07-25 08:00:00,55.24,52.86,43.16,18.87,19.77
2014-07-25 09:00:00,54.89,54.0,43.15,21.5,22.51
2014-07-25 10:00:00,54.12,52.86,39.92,27.17,28.15
2014-07-25 11:00:00,54.15,53.98,36.99,28.92,29.83
2014-07-25 12:00:00,53.74,52.86,37.67,29.5,30.29
2014-07-25 13:00:00,52.91,50.16,37.52,31.5,32.06
2014-07-25 14:00:00,51.91,49.52,35.32,32.32,32.86
2014-07-25 15:00:00,51.01,43.18,39.51,32.93,33.5
2014-07-25 16:00:00,50.99,41.97,41.97,33.32,34.04
2014-07-25 17:00:00,47.55,41.2,41.2,40.2,41.29
2014-07-25 18:00:00,50.11,39.0,39.0,44.54,45.96
2014-07-25 19:00:00,43.71,37.8,37.8,47.38,49.09
2014-07-25 20:00:00,38.05,39.85,39.85,47.63,49.51
2014-07-25 21:00:00,39.55,37.79,34.71,42.08,43.86
2014-07-25 22:00:00,31.59,39.41,34.5,32.96,34.02
2014-07-25 23:00:00,30.99,34.65,31.59,30.83,32.0
2014-07-26 00:00:00,30.21,32.51,30.99,30.71,31.89
2014-07-26 01:00:00,30.22,30.21,30.21,31.94,33.2
