,Portland,Boston,Richmond,Brighton,Hatfield,Madison,Georgetown
2013-06-27 11:00:00,43.74182161601741,49.8016007684602,33.2879170829786,35.560077420612906,29.44071679161717,25.40155906163588,32.93732372806609
2013-06-27 12:00:00,43.24296548345723,49.35295019042299,34.143781490082866,38.48990598452607,31.671794406216236,27.227748410616115,33.25130406041692
2013-06-27 13:00:00,44.2290186324247,50.504373183293495,34.73815861955573,41.31613434635201,33.97056447239356,29.22447738169903,33.43031963124237
2013-06-27 14:00:00,45.6459645457585,52.34700597010131,35.38354386239919,43.54755005950121,36.1652688403232,31.253060345174188,34.01441334086336
2013-06-27 15:00:00,44.96267707252548,51.68057879910684,35.59460826219664,41.05383668740474,38.115823428732206,33.17873708017638,34.60732186910078
2013-06-27 16:00:00,42.942006348488285,49.27276915776477,37.13749500899405,41.67968549722252,39.689422425139874,34.87945739912738,36.126474497523816
2013-06-27 17:00:00,42.06683311213266,48.348820043364924,38.93071858228558,44.418160177574954,40.791022378528275,36.25337119224064,38.630974915131816
2013-06-27 18:00:00,42.14946384886696,48.527989950940366,38.42011650842921,42.32047991837493,41.354906191413804,37.22468106675165,38.71732851256188
2013-06-27 19:00:00,43.87917552984645,50.96279626156603,36.89930702632553,41.032341689643985,41.35752963703767,37.747482274243765,36.42770740619878
2013-06-27 20:00:00,42.20980982798548,48.7148347419401,36.78235808173546,41.313994161528534,40.81215973610682,37.80746533454018,37.11072614547038
2013-06-27 21:00:00,41.7155969285061,47.952483593100816,35.28110648062314,39.29242572125007,39.77085177614488,37.42145106624231,36.20410937585168
2013-06-27 22:00:00,41.836881934393574,48.0667280407788,34.76772953303594,36.82193681208053,38.31739672651912,36.634893293612166,35.41889432407171
2013-06-27 23:00:00,41.45476349620376,47.650477794023445,34.56733185880343,35.78320596055491,36.562371205748875,35.51760362439759,35.226304009950816
2013-06-28 00:00:00,41.55141625000705,47.72822679184485,33.72730613552752,33.924510458388525,34.633812859232954,34.158061041956174,35.26494329546501
2013-06-28 01:00:00,35.67191642780973,38.44643571081055,33.01498877712342,40.476767926950785,30.448375387650657,36.301553496412296,32.4744835695442
2013-06-28 02:00:00,35.128611301343,38.16337566562018,31.423004447703697,35.35303637707308,32.15340046746217,32.52397352215834,32.64045557828071
2013-06-28 03:00:00,35.102211429598434,38.31479590198803,29.663031141238104,34.547776656202274,32.058103467157615,30.729729740256055,30.64198492008348
2013-06-28 04:00:00,37.96260695410765,41.50471314937892,27.340783434574544,33.802658032383576,31.557078162047844,29.624922178898974,28.581925330421964
2013-06-28 05:00:00,38.681540733235956,42.361942851284866,26.135607682046718,32.74636058937486,31.350314151209847,27.787895925462493,27.269818843145114
2013-06-28 06:00:00,38.77718081641069,42.477952648526504,25.29135063655458,31.495271123200826,30.671813688562967,26.537861467487176,26.156570873638458
2013-06-28 07:00:00,38.58417537212334,42.27921200206582,25.31649450634145,31.397648017484215,30.8823093469369,25.614387683798245,26.178027004193307
2013-06-28 08:00:00,38.69216991954955,42.39489876884922,25.778966209392163,31.59484851510639,31.131007748581013,25.647538354531584,26.6599520473693
2013-06-28 09:00:00,38.722709808386284,42.428980175703494,26.869354428739122,32.5981348239207,31.675675859961153,25.947640467762135,27.15013157786656
2013-06-28 10:00:00,38.76108855489895,42.45704240411912,27.791792323059543,32.64092374528822,31.616814767389904,26.766004392850142,28.102468911197676
2013-06-28 11:00:00,38.30506333629909,41.93750562822295,29.02509480159757,33.33281663506613,31.87453610342605,27.391799424164414,29.34618783922223
2013-06-28 12:00:00,38.381067903694706,42.03652863355116,30.30836192184541,35.23604143738517,32.01733378551223,28.331413288879254,30.810878203223673
2013-06-28 13:00:00,38.62551050842956,42.310116102059176,31.84090801738967,37.062736519683305,32.71930804563338,29.2981146755724,32.09113072541675
2013-06-28 14:00:00,38.35283505558265,42.01992849021552,33.431599809574486,41.809688994863095,33.190159260488564,30.54475649897675,33.716114629235975
2013-06-28 15:00:00,38.62714382801096,42.32962189410312,34.941467507436506,52.67748829885105,26.828033406142424,31.841254924105876,35.6710140251048
2013-06-28 16:00:00,39.6701975510941,43.538679532343565,34.78238214030014,38.55350659249115,32.734640708194284,33.05172768506205,34.77468541757789
2013-06-28 17:00:00,41.008227595048915,45.02856659069826,35.91744562365099,40.37160442261121,33.626635221608105,32.83276889470395,34.855729932665575
2013-06-28 18:00:00,40.85629522624256,44.79689973312012,37.069926390274304,40.56598951610576,34.676399125614864,33.85183280321624,35.63351656052471
2013-06-28 19:00:00,38.949074011831264,42.556724008032056,41.013300417370345,44.14183025115149,39.97399247731268,34.97861429521852,39.159175027223355
2013-06-28 20:00:00,39.22604895950281,42.94975958942591,39.72653681902474,42.044233750232024,37.298609527745334,39.04200098813684,38.84671147976574
2013-06-28 21:00:00,39.887161993401,43.71405370923418,38.417067923471514,37.36553256243606,35.66322707277159,37.56907501118497,39.110259551507454
2013-06-28 22:00:00,39.440712897827304,43.19363035855494,37.00373019363999,35.66398465376285,34.06574358468228,36.25276759527763,37.095803084096865
2013-06-28 23:00:00,39.36042117022436,43.09918012578743,36.705664854051115,35.29042152012321,33.964569296011774,34.96880731328901,36.17710790583564
2013-06-29 00:00:00,39.21908671170747,42.96138329170902,35.62937909813668,33.531035672623716,33.679349174033995,34.76777943444415,36.43547830553759
2013-06-29 01:00:00,37.613260953794736,40.39579126948409,24.856986005880934,31.815902813062365,31.43797556915272,24.488915760550533,27.258755292651898
2013-06-29 02:00:00,37.81581856776721,40.692860364935896,21.371839617460317,30.976525802107062,27.65405814403194,21.02191007087567,24.869168092537628
